index,Year,Player,Tm,Age,G,GS,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,eFG%,3P%,2P%,FT%,WS/48,OBPM,DBPM,BPM,VORP,PTS_per_game,AST_per_game,TRB_per_game,STL_per_game,BLK_per_game,TOV_per_game,Position,nba_team
1,1989,Kareem Abdul-Jabbar*,LAL,41.0,74.0,74.0,22.905,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,0.475,0.0,0.477,0.739,0.082,-2.3,0.0,-2.3,-0.1,10.108,1.0,4.514,0.514,1.149,1.284,C,None
2,1989,Michael Adams,DEN,26.0,77.0,77.0,36.195,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,0.509,0.356,0.49,0.819,0.143,3.8,-0.6,3.2,3.7,18.494,6.364,3.675,2.156,0.143,2.338,G,None
3,1989,Mark Aguirre,TOT,29.0,80.0,76.0,32.462,16.4,0.524,0.137,0.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,0.481,0.293,0.488,0.733,0.082,1.7,-1.2,0.5,1.7,18.888,3.475,4.825,0.562,0.45,2.6,F,None
4,1989,Mark Aguirre,DAL,29.0,44.0,44.0,34.75,17.3,0.509,0.119,0.294,6.6,10.3,8.5,21.5,0.9,1.1,13.0,30.5,0.467,0.293,0.471,0.73,0.052,1.7,-1.5,0.1,0.8,21.659,4.295,5.341,0.659,0.659,3.182,F,None
5,1989,Mark Aguirre,DET,29.0,36.0,32.0,29.667,15.1,0.551,0.17,0.338,6.2,9.6,8.0,12.7,0.8,0.4,11.8,23.0,0.508,0.293,0.522,0.738,0.126,1.7,-0.7,1.1,0.8,15.5,2.472,4.194,0.444,0.194,1.889,F,None
6,1989,Danny Ainge,TOT,29.0,73.0,54.0,32.562,18.0,0.554,0.29,0.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,0.512,0.38,0.488,0.854,0.135,4.0,-1.6,2.3,2.6,17.548,5.507,3.493,1.274,0.11,1.986,G,None
7,1989,Danny Ainge,BOS,29.0,45.0,28.0,29.978,17.5,0.553,0.263,0.217,3.2,9.8,6.6,23.1,1.9,0.0,11.3,22.4,0.509,0.374,0.491,0.891,0.133,3.6,-1.6,2.0,1.3,15.867,4.778,3.422,1.156,0.022,1.822,G,None
8,1989,Danny Ainge,SAC,29.0,28.0,26.0,36.714,18.6,0.554,0.325,0.242,3.5,7.1,5.3,28.1,1.9,0.4,11.0,22.9,0.515,0.387,0.484,0.813,0.136,4.5,-1.7,2.8,1.2,20.25,6.679,3.607,1.464,0.25,2.25,G,None
9,1989,Mark Alarie,WSB,25.0,74.0,5.0,15.419,13.3,0.531,0.088,0.202,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,0.493,0.342,0.491,0.839,0.093,-0.7,-1.0,-1.8,0.1,6.73,0.851,3.446,0.338,0.297,0.838,F,None
10,1989,Steve Alford,GSW,24.0,57.0,3.0,15.228,12.1,0.53,0.169,0.188,1.2,6.8,4.0,12.4,2.3,0.2,11.5,16.7,0.495,0.377,0.481,0.831,0.076,-1.6,-1.7,-3.3,-0.3,6.298,1.456,1.211,0.772,0.053,0.772,G,None
11,1989,Greg Anderson,SAS,24.0,82.0,56.0,29.28,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2.0,2.6,14.2,20.6,0.503,0.0,0.505,0.514,0.069,-2.4,-0.1,-2.5,-0.3,13.744,0.744,8.244,1.244,1.256,2.195,F,None
12,1989,Michael Anderson,SAS,22.0,36.0,12.0,20.278,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,0.42,0.143,0.429,0.695,0.01,-3.0,-0.4,-3.4,-0.3,5.667,4.25,2.472,1.222,0.083,2.333,G,None
13,1989,Richard Anderson,POR,28.0,72.0,3.0,15.028,12.0,0.509,0.405,0.109,6.0,17.5,11.6,11.4,1.9,0.6,12.9,14.9,0.487,0.348,0.464,0.842,0.093,-0.7,0.0,-0.7,0.4,5.153,1.361,3.208,0.611,0.167,0.75,F,None
14,1989,Ron Anderson,PHI,30.0,82.0,12.0,31.927,15.3,0.531,0.01,0.199,7.1,10.3,8.7,7.9,1.3,0.5,9.1,21.9,0.492,0.182,0.494,0.856,0.081,0.7,-1.7,-1.0,0.7,16.22,1.695,4.951,0.866,0.28,1.537,F,None
15,1989,Willie Anderson,SAS,22.0,81.0,79.0,33.802,16.6,0.534,0.016,0.225,5.8,11.1,8.4,21.1,2.5,1.4,15.6,23.8,0.5,0.19,0.503,0.775,0.085,0.9,0.6,1.5,2.4,18.617,4.593,5.148,1.852,0.765,3.222,F,None
