Year,Player,Position,Team
2017,LeBron James,F,First
2017,Kawhi Leonard,F,First
2017,Anthony Davis,C,First
2017,James Harden,G,First
2017,Russell Westbrook,G,First
2017,Giannis Antetokounmpo,F,Second
2017,Kevin Durant,F,Second
2017,Rudy Gobert,C,Second
2017,Stephen Curry,G,Second
2017,Isaiah Thomas,G,Second
2017,Draymond Green,F,Third
2017,Jimmy Butler,F,Third
2017,DeAndre Jordan,C,Third
2017,John Wall,G,Third
2017,DeMar DeRozan,G,Third
2016,LeBron James,F,First
2016,Kawhi Leonard,F,First
2016,DeAndre Jordan,C,First
2016,Stephen Curry,G,First
2016,Russell Westbrook,G,First
2016,Kevin Durant,F,Second
2016,Draymond Green,F,Second
2016,DeMarcus Cousins,C,Second
2016,Chris Paul,G,Second
2016,Damian Lillard,G,Second
2016,Paul George,F,Third
2016,LaMarcus Aldridge,F,Third
2016,Andre Drummond,C,Third
2016,Klay Thompson,G,Third
2016,Kyle Lowry,G,Third
2015,LeBron James,F,First
2015,Anthony Davis,F,First
2015,Marc Gasol,C,First
2015,Stephen Curry,G,First
2015,James Harden,G,First
2015,LaMarcus Aldridge,F,Second
2015,DeMarcus Cousins,F,Second
2015,Pau Gasol,C,Second
2015,Russell Westbrook,G,Second
2015,Chris Paul,G,Second
2015,Blake Griffin,F,Third
2015,Tim Duncan,F,Third
2015,DeAndre Jordan,C,Third
2015,Klay Thompson,G,Third
2015,Kyrie Irving,G,Third
2014,Kevin Durant,F,First
2014,LeBron James,F,First
2014,Joakim Noah,C,First
2014,James Harden,G,First
2014,Chris Paul,G,First
2014,Blake Griffin,F,Second
2014,Kevin Love,F,Second
2014,Dwight Howard,C,Second
2014,Stephen Curry,G,Second
2014,Tony Parker,G,Second
2014,Paul George,F,Third
2014,LaMarcus Aldridge,F,Third
2014,Al Jefferson,C,Third
2014,Goran Dragic,G,Third
2014,Damian Lillard,G,Third
2013,LeBron James,F,First
2013,Kevin Durant,F,First
2013,Tim Duncan,C,First
2013,Kobe Bryant,G,First
2013,Chris Paul,G,First
2013,Carmelo Anthony,F,Second
2013,Blake Griffin,F,Second
2013,Marc Gasol,C,Second
2013,Tony Parker,G,Second
2013,Russell Westbrook,G,Second
2013,David Lee,F,Third
2013,Paul George,F,Third
2013,Dwight Howard,C,Third
2013,Dwyane Wade,G,Third
2013,James Harden,G,Third
2012,Kevin Durant,F,First
2012,LeBron James,F,First
2012,Dwight Howard,C,First
2012,Kobe Bryant,G,First
2012,Chris Paul,G,First
2012,Kevin Love,F,Second
2012,Blake Griffin,F,Second
2012,Andrew Bynum,C,Second
2012,Tony Parker,G,Second
2012,Russell Westbrook,G,Second
2012,Carmelo Anthony,F,Third
2012,Dirk Nowitzki,F,Third
2012,Tyson Chandler,C,Third
2012,Dwyane Wade,G,Third
2012,Rajon Rondo,G,Third
2011,Kevin Durant,F,First
2011,LeBron James,F,First
2011,Dwight Howard,C,First
2011,Kobe Bryant,G,First
2011,Derrick Rose,G,First
2011,Pau Gasol,F,Second
2011,Dirk Nowitzki,F,Second
2011,Amar’e Stoudemire,C,Second
2011,Dwyane Wade,G,Second
2011,Russell Westbrook,G,Second
2011,LaMarcus Aldridge,F,Third
2011,Zach Randolph,F,Third
2011,Al Horford,C,Third
2011,Manu Ginobili,G,Third
2011,Chris Paul,G,Third
2010,Kevin Durant,F,First
2010,LeBron James,F,First
2010,Dwight Howard,C,First
2010,Kobe Bryant,G,First
2010,Dwyane Wade,G,First
2010,Carmelo Anthony,F,Second
2010,Dirk Nowitzki,F,Second
2010,Amar’e Stoudemire,C,Second
2010,Steve Nash,G,Second
2010,Deron Williams,G,Second
2010,Tim Duncan,F,Third
2010,Pau Gasol,F,Third
2010,Andrew Bogut,C,Third
2010,Joe Johnson,G,Third
2010,Brandon Roy,G,Third
2009,Dirk Nowitzki,F,First
2009,LeBron James,F,First
2009,Dwight Howard,C,First
2009,Kobe Bryant,G,First
2009,Dwyane Wade,G,First
2009,Tim Duncan,F,Second
2009,Paul Pierce,F,Second
2009,Yao Ming,C,Second
2009,Chris Paul,G,Second
2009,Brandon Roy,G,Second
2009,Carmelo Anthony,F,Third
2009,Pau Gasol,F,Third
2009,Shaquille O’Neal,C,Third
2009,Chauncey Billups,G,Third
2009,Tony Parker,G,Third
2008,Kevin Garnett,F,First
2008,LeBron James,F,First
2008,Dwight Howard,C,First
2008,Kobe Bryant,G,First
2008,Chris Paul,G,First
2008,Tim Duncan,F,Second
2008,Dirk Nowitzki,F,Second
2008,Amar’e Stoudemire,C,Second
2008,Steve Nash,G,Second
2008,Deron Williams,G,Second
2008,Carlos Boozer,F,Third
2008,Paul Pierce,F,Third
2008,Yao Ming,C,Third
2008,Manu Ginobili,G,Third
2008,Tracy McGrady,G,Third
2007,Tim Duncan,F,First
2007,Dirk Nowitzki,F,First
2007,Amar’e Stoudemire,C,First
2007,Kobe Bryant,G,First
2007,Steve Nash,G,First
2007,Chris Bosh,F,Second
2007,LeBron James,F,Second
2007,Yao Ming,C,Second
2007,Gilbert Arenas,G,Second
2007,Tracy McGrady,G,Second
2007,Carmelo Anthony,F,Third
2007,Kevin Garnett,F,Third
2007,Dwight Howard,C,Third
2007,Chauncey Billups,G,Third
2007,Dwyane Wade,G,Third
2006,LeBron James,F,First
2006,Dirk Nowitzki,F,First
2006,Shaquille O’Neal,C,First
2006,Kobe Bryant,G,First
2006,Steve Nash,G,First
2006,Elton Brand,F,Second
2006,Tim Duncan,F,Second
2006,Ben Wallace,C,Second
2006,Chauncey Billups,G,Second
2006,Dwyane Wade,G,Second
2006,Carmelo Anthony,F,Third
2006,Shawn Marion,F,Third
2006,Yao Ming,C,Third
2006,Gilbert Arenas,G,Third
2006,Allen Iverson,G,Third
2005,Tim Duncan,F,First
2005,Dirk Nowitzki,F,First
2005,Shaquille O’Neal,C,First
2005,Allen Iverson,G,First
2005,Steve Nash,G,First
2005,Kevin Garnett,F,Second
2005,LeBron James,F,Second
2005,Amar’e Stoudemire,C,Second
2005,Ray Allen,G,Second
2005,Dwyane Wade,G,Second
2005,Shawn Marion,F,Third
2005,Tracy McGrady,F,Third
2005,Ben Wallace,C,Third
2005,Gilbert Arenas,G,Third
2005,Kobe Bryant,G,Third
2004,Tim Duncan,F,First
2004,Kevin Garnett,F,First
2004,Shaquille O’Neal,C,First
2004,Kobe Bryant,G,First
2004,Jason Kidd,G,First
2004,Tracy McGrady,F,Second
2004,Peja Stojakovic,F,Second
2004,Jermaine O’Neal,F,Second
2004,Ben Wallace,C,Second
2004,Sam Cassell,G,Second
2004,Ron Artest,F,Third
2004,Dirk Nowitzki,F,Third
2004,Yao Ming,C,Third
2004,Baron Davis,G,Third
2004,Michael Redd,G,Third
2003,Tim Duncan,F,First
2003,Kevin Garnett,F,First
2003,Shaquille O’Neal,C,First
2003,Kobe Bryant,G,First
2003,Tracy McGrady,G,First
2003,Dirk Nowitzki,F,Second
2003,Chris Webber,F,Second
2003,Ben Wallace,C,Second
2003,Allen Iverson,G,Second
2003,Jason Kidd,G,Second
2003,Jamal Mashburn,F,Third
2003,Paul Pierce,F,Third
2003,Jermaine O’Neal,C,Third
2003,Stephon Marbury,G,Third
2003,Steve Nash,G,Third
2002,Tim Duncan,F,First
2002,Tracy McGrady,F,First
2002,Shaquille O’Neal,C,First
2002,Kobe Bryant,G,First
2002,Jason Kidd,G,First
2002,Kevin Garnett,F,Second
2002,Chris Webber,F,Second
2002,Dirk Nowitzki,C,Second
2002,Allen Iverson,G,Second
2002,Gary Payton,G,Second
2002,Jermaine O’Neal,F,Third
2002,Ben Wallace,F,Third
2002,Dikembe Mutombo,C,Third
2002,Steve Nash,G,Third
2002,Paul Pierce,G,Third
2001,Tim Duncan,F,First
2001,Chris Webber,F,First
2001,Shaquille O’Neal,C,First
2001,Allen Iverson,G,First
2001,Jason Kidd,G,First
2001,Kevin Garnett,F,Second
2001,Vince Carter,F,Second
2001,Dikembe Mutombo,C,Second
2001,Kobe Bryant,G,Second
2001,Tracy McGrady,G,Second
2001,Karl Malone,F,Third
2001,Dirk Nowitzki,F,Third
2001,David Robinson,C,Third
2001,Ray Allen,G,Third
2001,Gary Payton,G,Third
2000,Tim Duncan,F,First
2000,Kevin Garnett,F,First
2000,Shaquille O’Neal,C,First
2000,Gary Payton,G,First
2000,Jason Kidd,G,First
2000,Grant Hill,F,Second
2000,Karl Malone,F,Second
2000,Alonzo Mourning,C,Second
2000,Kobe Bryant,G,Second
2000,Allen Iverson,G,Second
2000,Vince Carter,F,Third
2000,Chris Webber,F,Third
2000,David Robinson,C,Third
2000,Eddie Jones,G,Third
2000,Stephon Marbury,G,Third
1999,Tim Duncan,F,First
1999,Karl Malone,F,First
1999,Alonzo Mourning,C,First
1999,Allen Iverson,G,First
1999,Jason Kidd,G,First
1999,Grant Hill,F,Second
1999,Chris Webber,F,Second
1999,Shaquille O’Neal,C,Second
1999,Tim Hardaway,G,Second
1999,Kevin Garnett,F,Third
1999,Antonio McDyess,F,Third
1999,Hakeem Olajuwon,C,Third
1999,Kobe Bryant,G,Third
1999,John Stockton,G,Third
1998,Tim Duncan,F,First
1998,Karl Malone,F,First
1998,Shaquille O’Neal,C,First
1998,Michael Jordan,G,First
1998,Gary Payton,G,First
1998,Grant Hill,F,Second
1998,Vin Baker,F,Second
1998,David Robinson,C,Second
1998,Tim Hardaway,G,Second
1998,Rod Strickland,G,Second
1998,Scottie Pippen,F,Third
1998,Glen Rice,F,Third
1998,Dikembe Mutombo,C,Third
1998,Reggie Miller,G,Third
1998,Mitch Richmond,G,Third
1997,Grant Hill,F,First
1997,Karl Malone,F,First
1997,Hakeem Olajuwon,C,First
1997,Michael Jordan,G,First
1997,Tim Hardaway,G,First
1997,Scottie Pippen,F,Second
1997,Glen Rice,F,Second
1997,Patrick Ewing,C,Second
1997,Gary Payton,G,Second
1997,Mitch Richmond,G,Second
1997,Vin Baker,F,Third
1997,Anthony Mason,F,Third
1997,Shaquille O’Neal,C,Third
1997,Anfernee Hardaway,G,Third
1997,John Stockton,G,Third
1996,Scottie Pippen,F,First
1996,Karl Malone,F,First
1996,David Robinson,C,First
1996,Michael Jordan,G,First
1996,Anfernee Hardaway,G,First
1996,Grant Hill,F,Second
1996,Shawn Kemp,F,Second
1996,Hakeem Olajuwon,C,Second
1996,Gary Payton,G,Second
1996,John Stockton,G,Second
1996,Charles Barkley,F,Third
1996,Juwan Howard,F,Third
1996,Shaquille O’Neal,C,Third
1996,Reggie Miller,G,Third
1996,Mitch Richmond,G,Third
1995,Scottie Pippen,F,First
1995,Karl Malone,F,First
1995,David Robinson,C,First
1995,John Stockton,G,First
1995,Anfernee Hardaway,G,First
1995,Charles Barkley,F,Second
1995,Shawn Kemp,F,Second
1995,Shaquille O’Neal,C,Second
1995,Gary Payton,G,Second
1995,Mitch Richmond,G,Second
