Year,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,is_mvp
1989.0,Kareem Abdul-Jabbar,41.0,LAL,74.0,1695.0,748.0,334.0,74.0,38.0,85.0,0.475,0.0,0.739,2.9,0.082,False
1989.0,Michael Adams,26.0,DEN,77.0,2787.0,1424.0,283.0,490.0,166.0,11.0,0.433,0.356,0.819,8.3,0.143,False
1989.0,Mark Aguirre,29.0,TOT,80.0,2597.0,1511.0,386.0,278.0,45.0,36.0,0.461,0.293,0.733,4.5,0.082,False
1989.0,Mark Aguirre,29.0,DAL,44.0,1529.0,953.0,235.0,189.0,29.0,29.0,0.45,0.293,0.73,1.7,0.052,False
1989.0,Mark Aguirre,29.0,DET,36.0,1068.0,558.0,151.0,89.0,16.0,7.0,0.483,0.293,0.738,2.8,0.126,False
1989.0,Danny Ainge,29.0,TOT,73.0,2377.0,1281.0,255.0,402.0,93.0,8.0,0.457,0.38,0.854,6.7,0.135,False
1989.0,Danny Ainge,29.0,BOS,45.0,1349.0,714.0,154.0,215.0,52.0,1.0,0.46,0.374,0.891,3.8,0.133,False
1989.0,Danny Ainge,29.0,SAC,28.0,1028.0,567.0,101.0,187.0,41.0,7.0,0.452,0.387,0.813,2.9,0.136,False
1989.0,Greg Anderson,24.0,SAS,82.0,2401.0,1127.0,676.0,61.0,102.0,103.0,0.503,0.0,0.514,3.4,0.069,False
1989.0,Michael Anderson,22.0,SAS,36.0,730.0,204.0,89.0,153.0,44.0,3.0,0.417,0.143,0.695,0.2,0.01,False
1989.0,Ron Anderson,30.0,PHI,82.0,2618.0,1330.0,406.0,139.0,71.0,23.0,0.491,0.182,0.856,4.4,0.081,False
1989.0,Willie Anderson,22.0,SAS,81.0,2738.0,1508.0,417.0,372.0,150.0,62.0,0.498,0.19,0.775,4.9,0.085,False
1989.0,John Bagley,28.0,NJN,68.0,1642.0,500.0,144.0,391.0,72.0,5.0,0.416,0.204,0.724,0.4,0.013,False
1989.0,Thurl Bailey,27.0,UTA,82.0,2777.0,1595.0,447.0,138.0,48.0,91.0,0.483,0.4,0.825,6.5,0.113,False
1989.0,Charles Barkley,25.0,PHI,79.0,3088.0,2037.0,986.0,325.0,126.0,67.0,0.579,0.216,0.753,16.1,0.25,False
1989.0,John Battle,26.0,ATL,82.0,1672.0,779.0,140.0,197.0,42.0,9.0,0.457,0.324,0.815,3.2,0.092,False
1989.0,Benoit Benjamin,24.0,LAC,79.0,2585.0,1299.0,696.0,157.0,57.0,221.0,0.541,0.0,0.744,5.1,0.095,False
1989.0,Ricky Berry,24.0,SAC,64.0,1406.0,706.0,197.0,80.0,37.0,22.0,0.45,0.406,0.789,2.4,0.083,False
1989.0,Rolando Blackman,29.0,DAL,78.0,2946.0,1534.0,273.0,288.0,65.0,20.0,0.476,0.353,0.854,5.7,0.092,False
1989.0,Muggsy Bogues,24.0,CHH,79.0,1755.0,423.0,165.0,620.0,111.0,7.0,0.426,0.077,0.75,2.6,0.07,False
1989.0,Manute Bol,26.0,GSW,80.0,1769.0,314.0,462.0,27.0,11.0,345.0,0.369,0.22,0.606,1.7,0.046,False
1989.0,Anthony Bowie,25.0,SAS,18.0,438.0,155.0,56.0,29.0,18.0,4.0,0.5,0.2,0.667,0.5,0.054,False
1989.0,Sam Bowie,27.0,POR,20.0,412.0,171.0,106.0,36.0,7.0,33.0,0.451,0.714,0.571,0.5,0.063,False
1989.0,Frank Brickowski,29.0,SAS,64.0,1822.0,875.0,406.0,131.0,102.0,35.0,0.515,0.0,0.715,3.6,0.094,False
1989.0,Michael Cage,27.0,SEA,80.0,2536.0,825.0,765.0,126.0,92.0,52.0,0.498,0.0,0.743,6.7,0.126,False
1989.0,Terry Catledge,25.0,WSB,79.0,2077.0,822.0,572.0,75.0,46.0,25.0,0.49,0.2,0.602,3.3,0.077,False
1989.0,Tom Chambers,29.0,PHO,81.0,3002.0,2085.0,684.0,231.0,87.0,55.0,0.471,0.326,0.851,9.2,0.146,False
1989.0,Rex Chapman,21.0,CHH,75.0,2219.0,1267.0,187.0,176.0,70.0,25.0,0.414,0.314,0.795,-0.2,-0.005,False
1989.0,Maurice Cheeks,32.0,PHI,71.0,2298.0,824.0,183.0,554.0,105.0,17.0,0.483,0.077,0.774,5.3,0.11,False
1989.0,Lester Conner,29.0,NJN,82.0,2532.0,843.0,355.0,604.0,181.0,5.0,0.457,0.351,0.788,6.2,0.118,False
1989.0,Darwin Cook,30.0,SAS,36.0,757.0,346.0,59.0,84.0,43.0,4.0,0.467,0.194,0.821,0.6,0.039,False
1989.0,Michael Cooper,32.0,LAL,80.0,1943.0,587.0,191.0,314.0,72.0,32.0,0.431,0.381,0.871,4.4,0.11,False
1989.0,Wayne Cooper,32.0,DEN,79.0,1864.0,520.0,619.0,78.0,36.0,211.0,0.495,0.25,0.745,5.0,0.128,False
1989.0,Tyrone Corbin,26.0,PHO,77.0,1655.0,631.0,398.0,118.0,82.0,13.0,0.54,0.0,0.788,5.4,0.156,False
1989.0,Pat Cummings,32.0,MIA,53.0,1096.0,466.0,281.0,47.0,29.0,18.0,0.5,0.0,0.742,0.6,0.026,False
1989.0,Terry Cummings,27.0,MIL,80.0,2824.0,1829.0,650.0,198.0,106.0,72.0,0.467,0.467,0.787,7.7,0.131,False
1989.0,Earl Cureton,31.0,CHH,82.0,2047.0,532.0,488.0,130.0,50.0,61.0,0.501,0.0,0.537,1.5,0.035,False
1989.0,Quintin Dailey,28.0,LAC,69.0,1722.0,1114.0,204.0,154.0,90.0,6.0,0.465,0.111,0.759,2.0,0.056,False
1989.0,Adrian Dantley,32.0,TOT,73.0,2422.0,1400.0,317.0,171.0,43.0,13.0,0.493,0.0,0.81,7.4,0.147,False
1989.0,Adrian Dantley,32.0,DAL,31.0,1081.0,628.0,153.0,78.0,20.0,7.0,0.462,0.0,0.776,2.1,0.093,False
1989.0,Brad Daugherty,23.0,CLE,78.0,2821.0,1475.0,718.0,285.0,63.0,40.0,0.538,0.333,0.737,9.6,0.164,False
1989.0,Walter Davis,34.0,DEN,81.0,1857.0,1267.0,151.0,190.0,72.0,5.0,0.498,0.29,0.879,3.5,0.092,False
1989.0,Johnny Dawkins,25.0,SAS,32.0,1083.0,454.0,101.0,224.0,55.0,0.0,0.443,0.0,0.893,1.0,0.044,False
1989.0,Clyde Drexler,26.0,POR,78.0,3064.0,2123.0,615.0,450.0,213.0,54.0,0.496,0.26,0.799,12.6,0.197,False
1989.0,Kevin Duckworth,24.0,POR,79.0,2662.0,1432.0,635.0,60.0,56.0,49.0,0.477,0.0,0.757,4.8,0.086,False
1989.0,Joe Dumars,25.0,DET,69.0,2408.0,1186.0,172.0,390.0,63.0,5.0,0.505,0.483,0.85,7.0,0.14,False
1989.0,Kevin Edwards,23.0,MIA,79.0,2349.0,1094.0,262.0,349.0,139.0,27.0,0.425,0.27,0.746,-0.2,-0.003,False
1989.0,Craig Ehlo,27.0,CLE,82.0,1867.0,608.0,295.0,266.0,110.0,19.0,0.475,0.39,0.607,4.6,0.118,False
1989.0,Dale Ellis,28.0,SEA,82.0,3190.0,2253.0,342.0,164.0,108.0,22.0,0.501,0.478,0.816,10.8,0.163,False
1989.0,Alex English,35.0,DEN,82.0,2990.0,2175.0,326.0,383.0,66.0,12.0,0.491,0.25,0.858,6.8,0.11,False
1989.0,Patrick Ewing,26.0,NYK,80.0,2896.0,1815.0,740.0,188.0,117.0,281.0,0.567,0.0,0.746,10.9,0.181,False
1989.0,Vern Fleming,26.0,IND,76.0,2552.0,1084.0,310.0,494.0,77.0,12.0,0.515,0.13,0.799,5.6,0.106,False
1989.0,Sleepy Floyd,28.0,HOU,82.0,2788.0,1162.0,306.0,709.0,124.0,11.0,0.443,0.373,0.845,7.7,0.133,False
1989.0,Winston Garland,24.0,GSW,79.0,2661.0,1145.0,328.0,505.0,175.0,14.0,0.434,0.233,0.809,4.5,0.082,False
1989.0,Tom Garrick,22.0,LAC,71.0,1499.0,454.0,156.0,243.0,78.0,9.0,0.49,0.0,0.803,1.4,0.044,False
1989.0,Mike Gminski,29.0,PHI,82.0,2739.0,1409.0,769.0,138.0,46.0,106.0,0.477,0.0,0.871,7.0,0.122,False
1989.0,Gary Grant,23.0,LAC,71.0,1924.0,846.0,238.0,506.0,144.0,9.0,0.435,0.227,0.735,-0.4,-0.009,False
1989.0,Horace Grant,23.0,CHI,79.0,2809.0,950.0,681.0,168.0,86.0,62.0,0.519,0.0,0.704,6.4,0.11,False
1989.0,Sylvester Gray,21.0,MIA,55.0,1220.0,440.0,286.0,117.0,36.0,25.0,0.42,0.25,0.673,0.7,0.028,False
1989.0,A.C. Green,25.0,LAL,82.0,2510.0,1088.0,739.0,103.0,94.0,55.0,0.529,0.235,0.786,9.4,0.179,False
1989.0,Darrell Griffith,30.0,UTA,82.0,2382.0,1135.0,330.0,130.0,86.0,22.0,0.446,0.311,0.78,3.9,0.078,False
1989.0,Bob Hansen,28.0,UTA,46.0,964.0,341.0,128.0,50.0,37.0,6.0,0.467,0.352,0.56,1.7,0.083,False
1989.0,Derek Harper,27.0,DAL,81.0,2968.0,1404.0,228.0,570.0,172.0,41.0,0.477,0.356,0.806,8.0,0.13,False
1989.0,Ron Harper,25.0,CLE,82.0,2851.0,1526.0,409.0,434.0,185.0,74.0,0.511,0.25,0.751,10.2,0.171,False
1989.0,Hersey Hawkins,22.0,PHI,79.0,2577.0,1196.0,225.0,239.0,120.0,37.0,0.455,0.428,0.831,4.0,0.075,False
1989.0,Rod Higgins,29.0,GSW,81.0,1887.0,856.0,376.0,160.0,39.0,42.0,0.476,0.393,0.821,5.9,0.15,False
1989.0,Roy Hinson,27.0,NJN,82.0,2542.0,1308.0,522.0,71.0,34.0,121.0,0.482,0.0,0.757,4.4,0.084,False
1989.0,Craig Hodges,28.0,TOT,59.0,1204.0,529.0,89.0,146.0,43.0,4.0,0.472,0.417,0.842,2.9,0.117,False
1989.0,Craig Hodges,28.0,CHI,49.0,1112.0,490.0,84.0,138.0,41.0,4.0,0.475,0.423,0.849,2.8,0.123,False
1989.0,Mike Holton,27.0,CHH,67.0,1696.0,553.0,105.0,424.0,66.0,12.0,0.427,0.214,0.839,1.3,0.038,False
1989.0,Dennis Hopson,23.0,NJN,62.0,1551.0,788.0,202.0,103.0,70.0,30.0,0.419,0.148,0.849,1.7,0.053,False
1989.0,Jeff Hornacek,25.0,PHO,78.0,2487.0,1054.0,266.0,465.0,129.0,8.0,0.495,0.333,0.826,7.7,0.149,False
1989.0,Jay Humphries,26.0,MIL,73.0,2220.0,844.0,189.0,405.0,142.0,5.0,0.483,0.266,0.816,4.9,0.105,False
1989.0,Mark Jackson,23.0,NYK,72.0,2477.0,1219.0,341.0,619.0,139.0,7.0,0.467,0.338,0.698,7.2,0.14,False
1989.0,Buck Johnson,25.0,HOU,67.0,1850.0,642.0,286.0,126.0,64.0,35.0,0.524,0.111,0.754,3.6,0.094,False
1989.0,Dennis Johnson,34.0,BOS,72.0,2309.0,721.0,190.0,472.0,94.0,21.0,0.434,0.14,0.821,2.5,0.051,False
1989.0,Eddie Johnson,29.0,PHO,70.0,2043.0,1504.0,306.0,162.0,47.0,7.0,0.497,0.413,0.868,6.5,0.152,False
1989.0,Kevin Johnson,22.0,PHO,81.0,3179.0,1650.0,340.0,991.0,135.0,24.0,0.505,0.091,0.882,12.2,0.184,False
1989.0,Magic Johnson,29.0,LAL,77.0,2886.0,1730.0,607.0,988.0,138.0,22.0,0.509,0.314,0.911,16.1,0.267,True
1989.0,Vinnie Johnson,32.0,DET,82.0,2073.0,1130.0,255.0,242.0,74.0,17.0,0.464,0.295,0.734,5.9,0.136,False
1989.0,Charles Jones,31.0,WSB,53.0,1154.0,136.0,257.0,42.0,39.0,76.0,0.48,0.0,0.64,1.6,0.068,False
1989.0,Michael Jordan,25.0,CHI,81.0,3255.0,2633.0,652.0,650.0,234.0,65.0,0.538,0.276,0.85,19.8,0.292,False
1989.0,Jerome Kersey,26.0,POR,76.0,2716.0,1330.0,629.0,243.0,137.0,84.0,0.469,0.286,0.694,6.8,0.121,False
1989.0,Bernard King,32.0,WSB,81.0,2559.0,1674.0,384.0,294.0,64.0,13.0,0.477,0.167,0.819,4.9,0.092,False
1989.0,Jon Koncak,25.0,ATL,74.0,1531.0,345.0,453.0,56.0,54.0,98.0,0.524,0.0,0.553,3.7,0.117,False
1989.0,Larry Krystkowiak,24.0,MIL,80.0,2472.0,1017.0,610.0,107.0,93.0,9.0,0.473,0.333,0.823,6.3,0.122,False
1989.0,Bill Laimbeer,31.0,DET,81.0,2640.0,1106.0,776.0,177.0,51.0,100.0,0.499,0.349,0.84,9.0,0.164,False
1989.0,Fat Lever,28.0,DEN,71.0,2745.0,1409.0,662.0,559.0,195.0,20.0,0.457,0.348,0.785,9.2,0.161,False
1989.0,Cliff Levingston,28.0,ATL,80.0,2184.0,734.0,498.0,75.0,97.0,70.0,0.528,0.2,0.696,5.5,0.121,False
1989.0,Reggie Lewis,23.0,BOS,81.0,2657.0,1495.0,377.0,218.0,124.0,72.0,0.486,0.136,0.787,6.9,0.124,False
1989.0,Grant Long,22.0,MIA,82.0,2435.0,976.0,546.0,149.0,122.0,48.0,0.486,0.0,0.749,4.6,0.091,False
1989.0,Rick Mahorn,30.0,DET,72.0,1795.0,522.0,496.0,59.0,40.0,66.0,0.517,0.0,0.748,4.6,0.123,False
1989.0,Dan Majerle,23.0,PHO,54.0,1354.0,467.0,209.0,130.0,63.0,14.0,0.419,0.329,0.614,2.5,0.09,False
1989.0,Jeff Malone,27.0,WSB,76.0,2418.0,1651.0,179.0,219.0,39.0,14.0,0.48,0.053,0.871,4.1,0.081,False
1989.0,Karl Malone,25.0,UTA,80.0,3126.0,2326.0,853.0,219.0,144.0,70.0,0.519,0.313,0.766,15.2,0.233,False
1989.0,Moses Malone,33.0,ATL,81.0,2878.0,1637.0,956.0,112.0,79.0,100.0,0.491,0.0,0.789,10.7,0.178,False
1989.0,Danny Manning,22.0,LAC,26.0,950.0,434.0,171.0,81.0,44.0,25.0,0.494,0.2,0.767,0.7,0.034,False
1989.0,Vernon Maxwell,23.0,SAS,79.0,2065.0,927.0,202.0,301.0,86.0,8.0,0.432,0.248,0.745,1.5,0.035,False
1989.0,Rodney McCray,27.0,SAC,68.0,2435.0,854.0,514.0,293.0,57.0,36.0,0.466,0.227,0.722,2.9,0.057,False
1989.0,Xavier McDaniel,25.0,SEA,82.0,2385.0,1677.0,433.0,134.0,84.0,40.0,0.489,0.306,0.732,5.3,0.107,False
1989.0,Mike McGee,29.0,NJN,80.0,2027.0,1038.0,189.0,116.0,80.0,12.0,0.473,0.365,0.535,2.3,0.055,False
1989.0,Kevin McHale,31.0,BOS,78.0,2876.0,1758.0,637.0,172.0,26.0,97.0,0.546,0.0,0.818,10.1,0.168,False
1989.0,Derrick McKey,22.0,SEA,82.0,2804.0,1305.0,464.0,219.0,105.0,70.0,0.502,0.337,0.803,7.4,0.126,False
1989.0,Nate McMillan,24.0,SEA,75.0,2341.0,532.0,388.0,696.0,156.0,42.0,0.41,0.214,0.63,4.4,0.09,False
1989.0,Reggie Miller,23.0,IND,74.0,2536.0,1181.0,292.0,227.0,93.0,29.0,0.479,0.402,0.844,6.5,0.124,False
1989.0,Sidney Moncrief,31.0,MIL,62.0,1594.0,752.0,172.0,188.0,65.0,13.0,0.491,0.342,0.865,5.0,0.151,False
1989.0,Chris Morris,23.0,NJN,76.0,2096.0,1074.0,397.0,119.0,102.0,60.0,0.457,0.366,0.717,2.8,0.064,False
1989.0,Chris Mullin,25.0,GSW,82.0,3093.0,2176.0,483.0,415.0,176.0,39.0,0.509,0.23,0.892,10.6,0.165,False
1989.0,Larry Nance,29.0,CLE,73.0,2526.0,1259.0,581.0,159.0,57.0,206.0,0.539,0.0,0.799,10.3,0.197,False
1989.0,Johnny Newman,25.0,NYK,81.0,2336.0,1293.0,206.0,162.0,111.0,23.0,0.475,0.338,0.815,6.7,0.138,False
1989.0,Norm Nixon,33.0,LAC,53.0,1318.0,362.0,78.0,339.0,46.0,0.0,0.414,0.276,0.738,-0.4,-0.013,False
1989.0,Ken Norman,24.0,LAC,80.0,3020.0,1450.0,667.0,277.0,106.0,66.0,0.502,0.19,0.63,4.0,0.064,False
1989.0,Charles Oakley,25.0,NYK,82.0,2604.0,1061.0,861.0,187.0,104.0,14.0,0.51,0.25,0.773,5.7,0.106,False
1989.0,Hakeem Olajuwon,26.0,HOU,82.0,3024.0,2034.0,1105.0,149.0,213.0,282.0,0.508,0.0,0.696,12.4,0.197,False
1989.0,John Paxson,28.0,CHI,78.0,1738.0,567.0,94.0,308.0,53.0,6.0,0.48,0.331,0.861,3.3,0.091,False
1989.0,Sam Perkins,27.0,DAL,78.0,2860.0,1171.0,688.0,127.0,76.0,92.0,0.464,0.184,0.833,6.4,0.108,False
1989.0,Chuck Person,24.0,IND,80.0,3012.0,1728.0,516.0,289.0,83.0,18.0,0.489,0.307,0.792,3.0,0.048,False
