PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Jayson Tatum,SF,74,36.92162162162162,30.06756756756757,4.621621621621622,8.77027027027027,46.6,35.0,2.8783783783783785,1.054054054054054,0.6891891891891891,470
Joel Embiid,C,66,34.60757575757576,33.07575757575758,4.151515151515151,10.151515151515152,54.8,33.0,3.4242424242424243,1.0,1.696969696969697,424
Luka Doncic,PG,66,36.21969696969697,32.39393939393939,8.015151515151516,8.621212121212121,49.6,34.2,3.5757575757575757,1.3636363636363635,0.5,128
Shai Gilgeous-Alexander,PG,68,35.529411764705884,31.397058823529413,5.455882352941177,4.838235294117647,51.0,34.5,2.823529411764706,1.6470588235294117,0.9558823529411765,149
Giannis Antetokounmpo,PF,63,32.12063492063492,31.095238095238095,5.698412698412699,11.777777777777779,55.3,27.5,3.9047619047619047,0.8253968253968254,0.8095238095238095,341
Anthony Edwards,SG,79,35.96835443037975,24.632911392405063,4.430379746835443,5.7974683544303796,45.9,36.9,3.278481012658228,1.5822784810126582,0.7341772151898734,97
Julius Randle,PF,77,35.54935064935065,25.142857142857142,4.103896103896104,9.96103896103896,45.9,34.3,2.8051948051948052,0.6363636363636364,0.2727272727272727,170
Donovan Mitchell,SG,68,35.77058823529412,28.264705882352942,4.426470588235294,4.25,48.4,38.6,2.6470588235294117,1.4558823529411764,0.39705882352941174,338
Trae Young,PG,73,34.80410958904109,26.21917808219178,10.150684931506849,2.9726027397260273,42.9,33.5,4.109589041095891,1.095890410958904,0.1232876712328767,100
Zach LaVine,SG,77,35.94675324675325,24.844155844155843,4.246753246753247,4.48051948051948,48.5,37.5,2.5194805194805197,0.8961038961038961,0.23376623376623376,18
Damian Lillard,PG,58,36.320689655172416,32.172413793103445,7.327586206896552,4.775862068965517,46.3,37.1,3.293103448275862,0.8620689655172413,0.3103448275862069,105
De'Aaron Fox,PG,73,33.35890410958904,25.013698630136986,6.123287671232877,4.191780821917808,51.2,32.4,2.4794520547945207,1.1369863013698631,0.3150684931506849,176
DeMar DeRozan,SF,74,36.23783783783784,24.54054054054054,5.094594594594595,4.635135135135135,50.4,32.4,2.0675675675675675,1.1216216216216217,0.4864864864864865,67
Jaylen Brown,SG,67,35.89402985074627,26.62686567164179,3.462686567164179,6.850746268656716,49.1,33.5,2.9402985074626864,1.1194029850746268,0.3880597014925373,256
Pascal Siakam,PF,71,37.352112676056336,24.225352112676056,5.845070422535211,7.830985915492958,48.0,32.4,2.380281690140845,0.9154929577464789,0.5070422535211268,123
Lauri Markkanen,PF,66,34.43181818181818,25.62121212121212,1.8636363636363635,8.636363636363637,49.9,39.2,1.9242424242424243,0.6363636363636364,0.5757575757575758,163
Nikola Jokic,C,69,33.666666666666664,24.492753623188406,9.826086956521738,11.840579710144928,63.2,38.3,3.579710144927536,1.2608695652173914,0.6811594202898551,640
Jalen Green,SG,76,34.23947368421052,22.144736842105264,3.6973684210526314,3.736842105263158,41.6,33.8,2.6315789473684212,0.7763157894736842,0.23684210526315788,-447
Jordan Poole,SG,82,29.976829268292683,20.426829268292682,4.5,2.7439024390243905,43.0,33.6,3.073170731707317,0.7682926829268293,0.25609756097560976,-11
Mikal Bridges,SF,83,35.70120481927711,20.132530120481928,3.289156626506024,4.385542168674699,46.8,38.2,1.5301204819277108,1.0963855421686748,0.7349397590361446,36
Stephen Curry,PG,56,34.66428571428572,29.428571428571427,6.285714285714286,6.089285714285714,49.3,42.7,3.1964285714285716,0.9285714285714286,0.35714285714285715,268
Jalen Brunson,PG,68,34.98088235294117,24.014705882352942,6.1911764705882355,3.5441176470588234,49.1,41.6,2.088235294117647,0.8970588235294118,0.22058823529411764,152
Kyrie Irving,PG,60,37.343333333333334,27.05,5.516666666666667,5.066666666666666,49.4,37.9,2.1333333333333333,1.1,0.75,222
Ja Morant,PG,61,31.93934426229508,26.16393442622951,8.081967213114755,5.852459016393443,46.6,30.7,3.377049180327869,1.0819672131147542,0.26229508196721313,302
LeBron James,SF,55,35.525454545454544,28.90909090909091,6.818181818181818,8.309090909090909,50.0,32.1,3.2363636363636363,0.9090909090909091,0.5818181818181818,214
CJ McCollum,SG,75,35.32266666666666,20.906666666666666,5.72,4.373333333333333,43.7,38.9,2.44,0.9333333333333333,0.5066666666666667,59
Bam Adebayo,C,75,34.64,20.386666666666667,3.2,9.173333333333334,54.0,8.3,2.493333333333333,1.1733333333333333,0.8133333333333334,117
Dejounte Murray,SG,74,36.3972972972973,20.472972972972972,6.054054054054054,5.256756756756757,46.4,34.4,2.1621621621621623,1.5135135135135136,0.25675675675675674,-62
Domantas Sabonis,PF,79,34.62784810126582,19.11392405063291,7.253164556962025,12.316455696202532,61.5,37.3,2.911392405063291,0.8227848101265823,0.4936708860759494,212
